Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G68""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H68""))>0,0),""Mac Pass"",""Mac Fail"")",,.PNG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G69""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H69""))>0,0),""Mac Pass"",""Mac Fail"")",,.JPG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G70""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H70""))>0,0),""Mac Pass"",""Mac Fail"")",,.BMP Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G71""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H71""))>0,0),""Mac Pass"",""Mac Fail"")",,.GIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G72""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H72""))>0,0),""Mac Pass"",""Mac Fail"")",,.TIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G73""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H73""))>0,0),""Mac Pass"",""Mac Fail"")",,.PDF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G74""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H74""))>0,0),""Mac Pass"",""Mac Fail"")",,.SVG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G75""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H75""))>0,0),""Mac Pass"",""Mac Fail"")",,.EPS Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G76""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H76""))>0,0),""Mac Pass"",""Mac Fail"")",,.AI Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G77""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H77""))>0,0),""Mac Pass"",""Mac Fail"")",,.CDR Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G78""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H78""))>0,0),""Mac Pass"",""Mac Fail"")",,.DST Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G79""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H79""))>0,0),""Mac Pass"",""Mac Fail"")",,.EXP Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G80""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H80""))>0,0),""Mac Pass"",""Mac Fail"")",,.JEF Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G81""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H81""))>0,0),""Mac Pass"",""Mac Fail"")",,.PES Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G82""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H82""))>0,0),""Mac Pass"",""Mac Fail"")",,.XXX Files - Embroidery File,Designer Edition+ and above.,,,
Double Click,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G84""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H84""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G85""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H85""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3 Files,,,,
Save,,,,,,,
