Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B48"")=True,""Pass"",INDIRECT(""Setup!C48"")=True,""Fail"",INDIRECT(""Setup!D48"")=True,""N/A"",INDIRECT(""Setup!E48"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F48"")=True,""Pass"",INDIRECT(""Setup!G48"")=True,""Fail"",INDIRECT(""Setup!H48"")=True,""N/A"",INDIRECT(""Setup!I48"")=True,""Retest"")",.GSD Files,,,,
3,"=IFS(INDIRECT(""Setup!B49"")=True,""Pass"",INDIRECT(""Setup!C49"")=True,""Fail"",INDIRECT(""Setup!D49"")=True,""N/A"",INDIRECT(""Setup!E49"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F49"")=True,""Pass"",INDIRECT(""Setup!G49"")=True,""Fail"",INDIRECT(""Setup!H49"")=True,""N/A"",INDIRECT(""Setup!I49"")=True,""Retest"")",.DXF Files,,,,
3,"=IFS(INDIRECT(""Setup!B50"")=True,""Pass"",INDIRECT(""Setup!C50"")=True,""Fail"",INDIRECT(""Setup!D50"")=True,""N/A"",INDIRECT(""Setup!E50"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F50"")=True,""Pass"",INDIRECT(""Setup!G50"")=True,""Fail"",INDIRECT(""Setup!H50"")=True,""N/A"",INDIRECT(""Setup!I50"")=True,""Retest"")",.PNG Files,,,,
3,"=IFS(INDIRECT(""Setup!B51"")=True,""Pass"",INDIRECT(""Setup!C51"")=True,""Fail"",INDIRECT(""Setup!D51"")=True,""N/A"",INDIRECT(""Setup!E51"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F51"")=True,""Pass"",INDIRECT(""Setup!G51"")=True,""Fail"",INDIRECT(""Setup!H51"")=True,""N/A"",INDIRECT(""Setup!I51"")=True,""Retest"")",.JPG Files,,,,
3,"=IFS(INDIRECT(""Setup!B52"")=True,""Pass"",INDIRECT(""Setup!C52"")=True,""Fail"",INDIRECT(""Setup!D52"")=True,""N/A"",INDIRECT(""Setup!E52"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F52"")=True,""Pass"",INDIRECT(""Setup!G52"")=True,""Fail"",INDIRECT(""Setup!H52"")=True,""N/A"",INDIRECT(""Setup!I52"")=True,""Retest"")",.BMP Files,,,,
3,"=IFS(INDIRECT(""Setup!B53"")=True,""Pass"",INDIRECT(""Setup!C53"")=True,""Fail"",INDIRECT(""Setup!D53"")=True,""N/A"",INDIRECT(""Setup!E53"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F53"")=True,""Pass"",INDIRECT(""Setup!G53"")=True,""Fail"",INDIRECT(""Setup!H53"")=True,""N/A"",INDIRECT(""Setup!I53"")=True,""Retest"")",.GIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B54"")=True,""Pass"",INDIRECT(""Setup!C54"")=True,""Fail"",INDIRECT(""Setup!D54"")=True,""N/A"",INDIRECT(""Setup!E54"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F54"")=True,""Pass"",INDIRECT(""Setup!G54"")=True,""Fail"",INDIRECT(""Setup!H54"")=True,""N/A"",INDIRECT(""Setup!I54"")=True,""Retest"")",.TIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B55"")=True,""Pass"",INDIRECT(""Setup!C55"")=True,""Fail"",INDIRECT(""Setup!D55"")=True,""N/A"",INDIRECT(""Setup!E55"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F55"")=True,""Pass"",INDIRECT(""Setup!G55"")=True,""Fail"",INDIRECT(""Setup!H55"")=True,""N/A"",INDIRECT(""Setup!I55"")=True,""Retest"")",.PDF Files,,,,
3,"=IFS(INDIRECT(""Setup!B56"")=True,""Pass"",INDIRECT(""Setup!C56"")=True,""Fail"",INDIRECT(""Setup!D56"")=True,""N/A"",INDIRECT(""Setup!E56"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F56"")=True,""Pass"",INDIRECT(""Setup!G56"")=True,""Fail"",INDIRECT(""Setup!H56"")=True,""N/A"",INDIRECT(""Setup!I56"")=True,""Retest"")",.SVG Files,,,,
3,"=IFS(INDIRECT(""Setup!B57"")=True,""Pass"",INDIRECT(""Setup!C57"")=True,""Fail"",INDIRECT(""Setup!D57"")=True,""N/A"",INDIRECT(""Setup!E57"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F57"")=True,""Pass"",INDIRECT(""Setup!G57"")=True,""Fail"",INDIRECT(""Setup!H57"")=True,""N/A"",INDIRECT(""Setup!I57"")=True,""Retest"")",.EPS Files,,,,
